Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1117,786,H,BYU,43,44,87,19,17.5,-2000,5.5
1117,787,V,WeberState,20,37,57,NL,NL,205,NL
1117,788,H,CalSantaBarb,30,36,66,5.5,6,-245,NL
1117,789,V,Monmouth,16,18,34,NL,NL,360,NL
1117,790,H,StPeters,27,31,58,9,8.5,-450,3.5
1117,791,V,Clemson,42,37,79,10,13,-1000,5
1117,792,H,Liberty,19,20,39,NL,NL,650,NL
1117,793,V,Binghamton,17,29,46,NL,NL,8000,NL
1117,794,H,Pittsburgh,37,34,71,33,33.5,-21500,14.5
1118,525,V,RhodeIsland,31,47,78,9,7.5,-350,5
1118,526,H,Brown,30,27,57,NL,NL,290,NL
1118,527,V,VaCommonwealth,42,25,67,7,6,-255,1
1118,528,H,WesternMichigan,35,48,83,NL,NL,215,NL
1118,529,V,IllinoisChicago,22,26,48,NL,NL,175,2
1118,530,H,CentralMichigan,39,28,67,1,5,-210,NL
1118,531,V,Toledo,33,35,68,NL,NL,1650,NL
1118,532,H,Cincinnati,49,43,92,21,21.5,-3300,9
1118,533,V,Cornell,33,41,74,2.5,4.5,-190,1
1118,534,H,Massachusetts,28,33,61,NL,NL,165,NL
1118,535,V,KentState,30,40,70,3,2,-135,NL
1118,536,H,YoungstownState,24,37,61,NL,NL,115,0.5
1118,537,V,Butler,30,37,67,4,4.5,-200,2
1118,538,H,Northwestern,24,30,54,125,120.5,170,65
1118,539,V,UtahState,29,38,67,142.5,140.5,125,72
1118,540,H,Utah,26,42,68,3,2.5,-145,2
1118,541,V,Nebraska,27,28,55,2.5,3.5,-150,2.5
1118,542,H,SaintLouis,28,41,69,NL,NL,130,NL
1118,543,V,Nevada,38,37,75,137,141.5,210,77.5
1118,544,H,UNLV,33,55,88,5.5,6,-250,4.5
1118,545,V,CalIrvine,33,51,84,NL,NL,220,NL
1118,546,H,LoyolaMarymount,40,38,78,3,6,-260,2
1118,547,V,GeorgiaSouthern,25,24,49,NL,NL,2500,NL
1118,548,H,Florida,26,43,69,23,25,-5000,12.5
1118,549,V,Manhattan,34,20,54,NL,NL,180,NL
1118,550,H,Princeton,31,30,61,4.5,5.5,-220,5.5
1118,551,V,ArkansasState,43,30,73,5,7,-290,NL
1118,552,H,SEMissouriSt,21,28,49,NL,NL,245,1.5
1118,553,V,WesternCarolina,24,17,41,138,143,2500,75
1118,554,H,Texas,43,30,73,25,23.5,-5000,9
1119,707,V,Richmond,28,43,71,5,6,-270,5
1119,708,H,William&Mary,29,49,78,NL,NL,230,NL
1119,709,V,LongBeachState,35,27,62,NL,NL,900,NL
1119,710,H,NotreDame,37,45,82,16,15,-1375,7.5
1119,711,V,Rice,20,29,49,NL,NL,885,NL
1119,712,H,Arizona,33,33,66,14,14,-1350,5.5
1119,713,V,SantaClara,22,31,53,NL,NL,500,NL
1119,714,H,SanDiegoState,38,48,86,12,11,-700,3.5
1119,715,N,Dayton,31,32,63,NL,NL,105,NL
1119,716,N,GeorgiaTech,22,37,59,0,1.5,-125,2.5
1119,717,N,GeorgeMason,37,31,68,142,143.5,1050,75.5
1119,718,N,Villanova,28,41,69,14,15.5,-1600,11
1119,719,N,IndianaU,36,35,71,150,148,500,79.5
1119,720,N,Mississippi,45,44,89,9,11,-700,4.5
1119,721,N,BostonU,35,35,70,NL,NL,885,NL
1119,722,N,KansasState,39,41,80,14.5,15,-1350,8
1119,723,N,Tulane,26,28,54,NL,NL,463,NL
1119,724,N,MiamiFlorida,31,43,74,11.5,10,-625,5
1119,725,N,NCWilmington,40,40,80,145,145.5,650,79
1119,726,N,PennState,31,38,69,11,12.5,-1000,10
1119,727,N,SouthFlorida,28,37,65,2,2.5,-135,NL
1119,728,N,Davidson,23,35,58,NL,NL,115,0
1119,729,N,LaSalle,36,32,68,55,154,280,81
1119,730,N,SouthCarolina,38,40,78,7.5,7,-340,3.5
1119,731,N,Syracuse,44,51,95,1,155,-102,82
1119,732,N,California,33,40,73,153,0,-118,2
1119,733,N,NorthCarolina,38,39,77,2.5,2,-135,76.5
1119,734,N,OhioState,24,49,73,154,147.5,115,2.5
1119,735,N,Rider,22,24,46,NL,NL,175,1.5
1119,736,N,Virginia,36,43,79,4,4.5,-210,NL
1119,737,N,EasternKentucky,24,36,60,NL,NL,1200,NL
1119,738,N,Pittsburgh,39,32,71,16,16.5,-1900,6.5
1119,741,N,Montana,22,27,49,NL,NL,173,2
1119,742,N,DenverU,36,20,56,5,5,-205,NL
1119,743,N,UtahValley,24,27,51,NL,NL,3000,NL
1119,744,N,Minnesota,32,44,76,24.5,25.5,-7000,12
1120,521,V,Toledo,30,32,62,137,138,NL,72
1120,522,H,MichiganState,37,38,75,30.5,29.5,NL,13
1120,523,V,SanFrancisco,23,42,65,NL,NL,1150,NL
1120,524,H,ArizonaState,58,46,104,15,15.5,-1800,4
1120,525,V,ColoradoState,29,31,60,NL,NL,300,NL
1120,526,H,IndianaState,29,36,65,8.5,8,-360,5.5
1120,527,V,Troy,32,26,58,NL,NL,1200,NL
1120,528,H,Florida,31,49,80,16,17,-2000,10.5
1120,529,V,SetonHall,40,49,89,NL,NL,160,NL
1120,530,H,Cornell,35,44,79,4,4,-180,4
1120,531,V,Brown,32,44,76,NL,NL,1150,NL
1120,532,H,StJohns,42,37,79,15,16,-1800,7
1120,533,V,Drexel,28,28,56,NL,NL,220,NL
1120,534,H,Rutgers,29,29,58,5.5,6,-260,3.5
1120,535,V,Providence,37,38,75,NL,NL,210,NL
1120,536,H,Alabama,33,51,84,5.5,6,-250,5
1120,537,V,BowlingGreen,20,26,46,NL,NL,400,NL
1120,538,H,Iowa,33,35,68,9.5,9.5,-500,2.5
1120,539,V,Vanderbilt,40,32,72,NL,NL,175,NL
1120,540,H,SaintMarysCA,39,31,70,5,5,-210,4
1120,541,V,SanJoseState,31,39,70,NL,NL,NL,NL
1120,542,H,WashingtonU,37,43,80,22,21.5,NL,9.5
1120,543,V,BYU,41,42,83,10,9,-450,3
1120,544,H,Hawaii,31,34,65,NL,NL,350,NL
1120,545,V,Niagara,50,32,82,20,20,-3200,8
1120,546,H,Howard,37,40,77,NL,NL,1700,NL
1120,547,V,Drake,35,30,65,NL,NL,110,NL
